"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify password field is not susceptible to xss attacks","10002","verifyPasswordIsNotSusceptibleToXSSAttacks","End-to-End TestSuite","Tue Jul 22 09:23:00 GMT 2025","failed","Tue Jul 22 09:23:10 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyPasswordIsNotSusceptibleToXSSAttacks"
"Verify only admin can create registration invite","2223","verifyOnlyAdminCanRegisterUser","API TestSuite","Tue Jul 22 09:21:49 GMT 2025","failed","Tue Jul 22 09:21:51 GMT 2025","com.talendradar.tests.api.users.registration.RegisterUserTests","Authentication Tests","com.talendradar.tests.api.users.registration.RegisterUserTests","verifyOnlyAdminCanRegisterUser"
"Verify {role} can login","10004","verifyUserCanLogin","End-to-End TestSuite","Tue Jul 22 09:24:48 GMT 2025","failed","Tue Jul 22 09:24:58 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyUserCanLogin"
"Verify {role} can login","10004","verifyUserCanLogin","End-to-End TestSuite","Tue Jul 22 09:24:24 GMT 2025","failed","Tue Jul 22 09:24:34 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyUserCanLogin"
"Verify admin can create and send registration invites","2018","verifyAdminCanRegisterUser","API TestSuite","Tue Jul 22 09:21:45 GMT 2025","passed","Tue Jul 22 09:21:47 GMT 2025","com.talendradar.tests.api.users.registration.RegisterUserTests","Authentication Tests","com.talendradar.tests.api.users.registration.RegisterUserTests","verifyAdminCanRegisterUser"
"Verify immediate validation given {desc}","10003","verifyUIValidationReliability","End-to-End TestSuite","Tue Jul 22 09:24:12 GMT 2025","failed","Tue Jul 22 09:24:22 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyUIValidationReliability"
"Verify {desc} can log in successfully with valid credentials","1528","verifyUserCanLoginSuccessfully","API TestSuite","Tue Jul 22 09:21:38 GMT 2025","failed","Tue Jul 22 09:21:39 GMT 2025","com.talendradar.tests.api.auth.EmailPasswordLoginStrategyTests","Authentication Tests","com.talendradar.tests.api.auth.EmailPasswordLoginStrategyTests","verifyUserCanLoginSuccessfully"
"Verify password field is not susceptible to xss attacks","10005","verifyPasswordIsNotSusceptibleToXSSAttacks","End-to-End TestSuite","Tue Jul 22 09:23:12 GMT 2025","failed","Tue Jul 22 09:23:22 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyPasswordIsNotSusceptibleToXSSAttacks"
"Verify only admin can revoke session","1847","verifyOnlyAdminCanRevokeSession","API TestSuite","Tue Jul 22 09:22:18 GMT 2025","failed","Tue Jul 22 09:22:20 GMT 2025","com.talendradar.tests.api.admin.sessions.RevokeSessionTests","User Management Tests","com.talendradar.tests.api.admin.sessions.RevokeSessionTests","verifyOnlyAdminCanRevokeSession"
"Verify immediate validation given {desc}","10004","verifyUIValidationReliability","End-to-End TestSuite","Tue Jul 22 09:24:00 GMT 2025","failed","Tue Jul 22 09:24:10 GMT 2025","com.talendradar.tests.e2e.auth.LoginTests","Auth Module Tests","com.talendradar.tests.e2e.auth.LoginTests","verifyUIValidationReliability"
